Wins,PPG,OPPG,P6,3PT,TO,AST,ConfChamp,Seed,RPG,STL,NumApp,Home,Team 1 Win?
-5.0,3.549999999999997,1.269999999999996,0.0,0.3600000000000003,-2.7300000000000004,2.5599999999999987,0.0,0.0,-4.739999999999998,0.5099999999999998,-1.0,1.0,1.0
-2.0,-3.6799999999999926,1.9100000000000108,0.0,-1.290000000000001,0.4800000000000004,-2.4499999999999993,0.0,0.0,-2.5199999999999996,-0.5099999999999998,1.0,1.0,0.0
11.0,11.210000000000008,2.1299999999999955,1.0,2.790000000000001,2.3599999999999994,3.1400000000000006,1.0,1.0,9.080000000000002,-0.3700000000000001,18.0,1.0,1.0
-16.0,-10.200000000000003,4.060000000000002,-1.0,-1.2599999999999998,-0.22999999999999865,-6.18,-1.0,-2.0,-7.449999999999996,3.21,-32.0,1.0,0.0
9.0,2.769999999999996,-2.3200000000000074,1.0,3.16,-0.19000000000000128,3.1400000000000006,0.0,11.0,6.960000000000001,-0.8800000000000008,8.0,1.0,1.0
-6.0,-2.519999999999996,6.959999999999994,-1.0,2.2300000000000004,-1.129999999999999,-2.289999999999999,0.0,-8.0,0.28999999999999915,-4.49,-19.0,1.0,0.0
0.0,3.989999999999995,-0.20999999999999375,1.0,-0.7699999999999996,-1.209999999999999,0.5199999999999996,0.0,9.0,-0.09999999999999432,3.3899999999999997,5.0,1.0,1.0
-17.0,-16.129999999999995,4.5,-1.0,-4.63,3.34,-4.470000000000001,0.0,-3.0,-1.6899999999999977,0.8999999999999995,-7.0,1.0,0.0
2.0,-1.519999999999996,-1.5799999999999983,0.0,0.6400000000000006,0.0,3.17,0.0,0.0,-3.5500000000000007,0.20999999999999996,2.0,1.0,1.0
-1.0,13.799999999999997,7.140000000000001,-1.0,4.53,-0.29999999999999893,4.100000000000001,0.0,0.0,-1.0999999999999979,3.4399999999999995,-7.0,1.0,0.0
4.0,0.8599999999999994,-3.930000000000007,0.0,0.16000000000000014,-2.5500000000000007,-2.4700000000000006,0.0,0.0,-0.769999999999996,1.29,-1.0,1.0,1.0
5.0,-7.540000000000006,-12.079999999999998,0.0,0.9500000000000002,-1.3699999999999992,2.0999999999999996,0.0,0.0,-5.110000000000003,-0.41999999999999993,2.0,1.0,0.0
-12.0,-2.780000000000001,9.760000000000005,0.0,-1.6100000000000012,4.17,-4.469999999999999,-1.0,-15.0,3.0599999999999987,0.6200000000000001,-2.0,1.0,1.0
-4.0,7.950000000000003,12.129999999999995,-1.0,-0.33999999999999986,5.480000000000002,1.9399999999999995,0.0,0.0,1.7899999999999991,-0.17999999999999972,-10.0,1.0,0.0
8.0,5.590000000000003,-2.039999999999992,0.0,0.15999999999999925,3.17,2.0600000000000005,0.0,0.0,5.400000000000002,1.4299999999999997,18.0,1.0,1.0
-9.0,5.280000000000001,20.409999999999997,0.0,0.3800000000000008,4.470000000000001,-1.6300000000000008,0.0,0.0,-0.3200000000000003,2.38,-6.0,1.0,0.0
14.0,8.930000000000007,-6.570000000000007,1.0,1.459999999999999,-0.8899999999999988,3.24,0.0,0.0,5.170000000000002,-0.4299999999999997,12.0,1.0,1.0
-15.0,-5.209999999999994,6.760000000000005,0.0,1.1899999999999995,-0.16999999999999993,1.2300000000000004,-1.0,-12.0,-5.389999999999997,-1.5500000000000007,3.0,1.0,0.0
-4.0,-1.3900000000000006,-3.5999999999999943,1.0,-1.5099999999999998,1.0600000000000005,0.11999999999999922,0.0,0.0,1.5399999999999956,2.6100000000000003,7.0,1.0,1.0
-1.0,-3.6700000000000017,-4.680000000000007,0.0,-1.3499999999999996,2.0,-4.279999999999999,0.0,0.0,2.9299999999999997,1.46,-5.0,1.0,0.0
12.0,12.320000000000007,-5.3700000000000045,1.0,1.4699999999999998,-0.47000000000000064,5.369999999999999,0.0,4.0,8.439999999999998,-0.41999999999999993,23.0,1.0,1.0
-4.0,-4.219999999999999,2.3900000000000006,-1.0,0.02999999999999936,-1.290000000000001,-3.49,0.0,-6.0,-6.629999999999999,0.6600000000000001,-17.0,1.0,0.0
14.0,1.0300000000000011,-15.039999999999992,0.0,-0.7599999999999998,-1.25,4.17,0.0,0.0,3.490000000000002,-1.1100000000000003,10.0,1.0,1.0
-5.0,-2.0700000000000074,-0.8999999999999915,0.0,1.5300000000000002,-3.200000000000001,-0.33000000000000007,0.0,0.0,-5.870000000000001,-0.8300000000000001,2.0,1.0,0.0
-1.0,5.310000000000002,5.530000000000001,1.0,0.7199999999999998,-0.20000000000000107,0.7899999999999991,0.0,0.0,0.8900000000000006,-0.9000000000000004,7.0,1.0,1.0
-16.0,-11.490000000000002,0.75,-1.0,-0.08000000000000007,-0.41000000000000014,-2.5900000000000016,-1.0,-5.0,-6.09,-0.8600000000000003,-35.0,1.0,0.0
-4.0,-9.829999999999998,-1.25,0.0,-1.33,-1.0899999999999999,-3.119999999999999,0.0,0.0,0.41000000000000014,1.7599999999999998,-3.0,-1.0,1.0
6.0,2.6200000000000045,-2.4599999999999937,1.0,-2.500000000000001,0.8399999999999999,0.9199999999999999,0.0,10.0,1.0500000000000043,0.3799999999999999,12.0,-1.0,0.0
7.0,10.39,-1.210000000000008,1.0,-0.5099999999999998,-1.4100000000000001,1.25,0.0,0.0,1.9699999999999989,2.59,22.0,1.0,1.0
-5.0,2.2900000000000063,9.5,0.0,1.5100000000000007,0.7400000000000002,2.0599999999999987,0.0,0.0,1.879999999999999,-3.6899999999999995,-1.0,1.0,0.0
17.0,3.0799999999999983,-6.769999999999996,0.0,-0.1299999999999999,-1.0399999999999991,0.4800000000000004,0.0,0.0,3.900000000000002,2.25,1.0,1.0,1.0
-1.0,2.4399999999999977,1.4699999999999989,-1.0,1.3500000000000005,-2.369999999999999,0.7100000000000009,0.0,0.0,-0.4700000000000024,-0.9799999999999995,-10.0,1.0,0.0
15.0,11.739999999999995,-5.090000000000003,0.0,-2.5200000000000005,-1.33,3.839999999999998,0.0,3.0,3.1700000000000017,2.5599999999999996,24.0,1.0,1.0
2.0,-1.2800000000000011,-1.75,0.0,-2.7800000000000002,0.11999999999999922,0.22000000000000064,0.0,0.0,-3.5599999999999987,1.8200000000000003,2.0,1.0,0.0
4.0,-0.8999999999999915,-2.9200000000000017,0.0,0.3600000000000012,-0.9400000000000013,1.0600000000000005,-1.0,-15.0,-4.379999999999999,1.5300000000000002,-10.0,-1.0,1.0
-19.0,-1.2900000000000063,21.239999999999995,0.0,0.5299999999999994,2.460000000000001,-3.370000000000001,0.0,-1.0,-6.060000000000002,-3.74,-8.0,1.0,0.0
13.0,7.799999999999997,-7.239999999999995,1.0,2.49,-0.41999999999999993,-1.25,0.0,9.0,5.5,-1.13,23.0,1.0,1.0
-5.0,-8.64,-0.38000000000000966,-1.0,1.5099999999999998,0.3200000000000003,-2.92,0.0,-4.0,-2.3500000000000014,-0.5499999999999998,-24.0,1.0,0.0
18.0,19.33,-7.140000000000001,0.0,2.6399999999999997,-1.6399999999999988,4.879999999999999,0.0,0.0,5.960000000000001,1.3000000000000007,-2.0,1.0,1.0
-11.0,-2.039999999999992,7.3799999999999955,0.0,0.9699999999999998,2.1900000000000013,-0.5499999999999989,-1.0,-13.0,0.5600000000000023,-2.0599999999999996,0.0,1.0,0.0
9.0,12.950000000000003,-2.1899999999999977,1.0,1.1900000000000004,-2.41,5.529999999999999,0.0,8.0,5.020000000000003,-0.34999999999999964,21.0,1.0,1.0
-16.0,-3.269999999999996,15.849999999999994,-1.0,-1.9300000000000006,2.5700000000000003,-3.1900000000000013,0.0,-6.0,-2.6899999999999977,-3.0100000000000007,-20.0,1.0,0.0
19.0,7.590000000000003,-8.379999999999995,1.0,1.42,-0.1999999999999993,4.860000000000001,0.0,1.0,3.3400000000000034,3.6599999999999993,37.0,1.0,1.0
-12.0,-0.25,12.150000000000006,-1.0,-0.5499999999999998,2.3100000000000005,-2.710000000000001,0.0,-3.0,-0.9099999999999966,-3.2300000000000004,-16.0,1.0,0.0
6.0,8.530000000000001,1.6200000000000045,0.0,-0.3700000000000001,0.4400000000000013,-1.0299999999999994,0.0,-3.0,2.16,-0.5,4.0,-1.0,1.0
-2.0,-1.4500000000000028,4.579999999999998,-1.0,1.3600000000000003,4.959999999999999,-0.9900000000000002,1.0,10.0,-3.799999999999997,0.5,-30.0,1.0,0.0
0.0,8.769999999999996,9.83999999999999,0.0,-3.4899999999999993,2.130000000000001,1.290000000000001,0.0,0.0,3.969999999999999,2.58,4.0,-1.0,1.0
7.0,8.89,3.489999999999995,0.0,0.7400000000000002,-3.26,0.5,0.0,16.0,2.469999999999999,1.79,3.0,1.0,0.0
11.0,11.39,4.070000000000007,1.0,2.33,-0.6000000000000014,5.8199999999999985,1.0,2.0,-1.7000000000000028,2.4400000000000004,15.0,1.0,1.0
-6.0,-6.189999999999998,3.220000000000006,-1.0,-0.75,0.5999999999999996,-0.9900000000000002,0.0,-8.0,-3.3599999999999994,0.040000000000000036,-21.0,1.0,0.0
5.0,3.799999999999997,1.2600000000000051,0.0,-0.9699999999999998,2.84,0.7699999999999996,0.0,0.0,3.9599999999999973,1.2199999999999998,5.0,1.0,1.0
-6.0,-7.290000000000006,0.15000000000000568,1.0,2.3499999999999996,-3.17,-3.9800000000000004,-1.0,-8.0,0.6500000000000057,-3.71,-7.0,-1.0,0.0
14.0,17.059999999999995,6.469999999999999,1.0,-1.17,0.2599999999999998,-0.5899999999999999,0.0,5.0,2.2300000000000004,1.58,8.0,1.0,1.0
-2.0,-1.5200000000000102,2.6599999999999966,-1.0,1.6099999999999994,2.6999999999999993,0.28000000000000114,0.0,0.0,-2.9200000000000017,2.1900000000000004,-23.0,1.0,0.0
9.0,-2.319999999999993,-8.819999999999993,1.0,-0.6699999999999999,-0.03999999999999915,1.8699999999999992,0.0,7.0,2.9400000000000013,-0.5099999999999998,30.0,1.0,1.0
-4.0,5.420000000000009,5.469999999999999,-1.0,1.63,-0.14999999999999858,-2.7200000000000006,0.0,0.0,2.129999999999999,-0.07000000000000028,-9.0,1.0,0.0
-6.0,-0.6499999999999915,-1.5900000000000034,1.0,1.0200000000000005,-0.3899999999999988,3.1899999999999995,0.0,0.0,1.0199999999999996,-0.9099999999999993,6.0,1.0,1.0
