Wins,PPG,OPPG,P6,3PT,TO,AST,ConfChamp,Seed,RPG,STL,NumApp,Home
4,0.9399999999999977,-8.96,1,-1.5699999999999994,-3.619999999999999,1.5899999999999999,-1,-13,1.3100000000000023,2.29,24,0
-2,-4.030000000000001,-2.1899999999999977,1,-0.05999999999999961,-1.540000000000001,1.9399999999999995,0,-3,-0.8500000000000014,2.8499999999999996,-6,0
-1,4.860000000000014,0.20000000000000284,0,-2.05,0.20000000000000107,1.9700000000000006,0,-5,0.17999999999999972,0.9800000000000004,-3,0
6,14.189999999999998,5.189999999999998,0,-0.6200000000000001,-1.2200000000000006,4.6,-1,-11,1.0900000000000034,2.66,23,0
-2,2.0700000000000074,0.030000000000001137,1,1.9400000000000004,2.040000000000001,2.24,-1,-9,2.5,-0.9199999999999999,10,0
-2,-0.46999999999999886,-2.9099999999999966,0,1.5300000000000002,-3.379999999999999,-0.7700000000000014,-1,-7,1.9700000000000024,-2.1599999999999993,-4,0
0,-0.23999999999999488,0.4200000000000017,0,-2.5700000000000003,0.10999999999999943,0.9499999999999993,0,-1,-3.1400000000000006,1.5500000000000007,-2,0
8,1.3299999999999983,-4.670000000000002,1,-0.7700000000000005,-3.709999999999999,2.120000000000001,-1,-15,0.8500000000000014,1.8199999999999994,35,0
1,-0.30000000000001137,-1.8299999999999983,1,-1.0600000000000005,1.2699999999999996,-2.3599999999999994,0,-13,0.8299999999999983,1.2100000000000009,23,0
3,0.9299999999999926,-2.190000000000012,0,-4.3100000000000005,3.4499999999999993,-1.2899999999999991,0,-3,4.009999999999998,2.45,5,0
-3,-7.680000000000007,-7.730000000000004,0,-2.6800000000000006,1.83,-0.2699999999999996,0,-5,-2.490000000000002,3.66,1,0
2,7.670000000000002,3.219999999999999,1,-0.41000000000000014,0.28999999999999915,5.160000000000002,-1,-11,4.18,-0.8199999999999994,26,0
-4,-0.6899999999999977,2.1099999999999994,1,-2.05,0.20999999999999908,3.26,-1,-9,1.3000000000000007,-2.8000000000000007,20,0
-1,5.560000000000002,7.730000000000004,1,-0.08000000000000007,1.0599999999999987,1.8200000000000003,-1,-7,-1.0599999999999987,2.04,8,0
-1,7.5,7.349999999999994,0,1.5600000000000005,-2.3200000000000003,2.369999999999999,0,-1,0.7800000000000011,-1.38,10,0
11,7.840000000000003,-8.219999999999999,0,-0.33000000000000007,-1.0899999999999999,1.6300000000000008,-1,-15,6.340000000000003,-0.7400000000000002,6,0
9,7.720000000000013,2.6099999999999994,1,0.4800000000000004,1.8999999999999986,6.4,0,-13,1.0499999999999972,1.4900000000000002,22,0
-1,1.75,4.819999999999993,1,0.2699999999999996,-1.0600000000000005,-0.5799999999999983,0,-3,-5.719999999999999,5.39,9,0
-2,-1.5400000000000063,-2.3100000000000023,0,0.4900000000000002,1.8500000000000014,2.9399999999999995,0,-5,0.759999999999998,-2.67,0,0
-3,5.349999999999994,4.5,1,4.22,1.6900000000000013,0.5899999999999999,-1,-11,1.3399999999999999,0.21999999999999975,5,0
1,-12.579999999999998,-11.14,1,-2.580000000000001,-2.49,-0.5800000000000001,-1,-9,-3.3000000000000043,0.5600000000000005,19,0
-4,-8.989999999999995,-3.549999999999997,0,-3.160000000000001,-0.7899999999999991,-0.4900000000000002,0,-7,-4.640000000000001,-0.2400000000000002,7,0
2,-5.939999999999998,-7.880000000000003,0,-0.41999999999999993,-2.4499999999999993,-1.6300000000000008,0,-1,-0.25,-1.3399999999999999,5,0
10,3.9000000000000057,-4.430000000000007,1,2.3000000000000007,1.2799999999999994,0.1800000000000015,0,-15,8.36,-2.250000000000001,16,0
6,7.780000000000001,3.8700000000000045,1,0.16000000000000014,1.6499999999999986,3.8999999999999986,0,-13,-0.16000000000000014,3.8200000000000003,9,0
-3,-2.549999999999997,0.14000000000000057,0,1.0100000000000007,-1.459999999999999,1.4000000000000004,0,-3,-0.3100000000000023,-2.42,17,0
0,-3.030000000000001,-3.280000000000001,0,-0.28000000000000025,-0.1899999999999995,0.620000000000001,0,-5,1.1299999999999955,-0.4400000000000004,18,0
0,4.469999999999999,2.0900000000000034,1,1.5600000000000005,2.16,4.91,-1,-11,3.7199999999999953,1.2800000000000002,12,0
0,-3.779999999999987,-12.5,1,1.12,-0.40000000000000036,3.1099999999999994,-1,-9,2.8500000000000014,0.8999999999999995,10,0
0,-9.939999999999998,-5.990000000000009,1,-3.780000000000001,2.66,0.41000000000000014,0,-7,2.3400000000000034,-1.0599999999999996,31,0
-3,1.6300000000000097,6.659999999999997,0,-3.5700000000000003,2.17,1.5199999999999996,0,-1,-2.780000000000001,2.1799999999999997,18,0
12,-3.1899999999999977,-13.229999999999997,1,-0.96,-0.75,1.1899999999999995,1,-15,5.740000000000002,-2.6500000000000004,22,0
