Wins,PPG,OPPG,P6,3PT,TO,AST,ConfChamp,Seed,RPG,STL,NumApp,Home
3,10.840000000000003,4.689999999999998,1,3.250000000000001,2.6799999999999997,2.1800000000000015,0,-4,8.220000000000006,-1.0600000000000005,6,0
3,-4.759999999999991,-4.669999999999995,0,-0.27000000000000046,-0.6199999999999992,-0.41000000000000014,0,-1,4.5000000000000036,-3.2700000000000005,0,0
